# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
,260,         5.180,       52.100,       1.90,  DE BILT
,380,         5.762,       50.906,     114.30,  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TN,   TX
# 
  380,19630524,  108,   77,  145
  380,19630525,  120,   55,  159
  380,19630526,  136,   84,  187
  380,19630527,  154,  127,  184
  380,19630528,  139,  119,  164
  380,19630529,  136,  110,  175
  380,19630530,  181,  110,  248
  380,19630531,  197,  128,  254
  380,19630601,  176,  123,  225
  380,19630602,  158,   96,  218
  380,19630603,  146,   88,  201
  380,19630604,  172,   85,  231
  380,19630605,  159,  115,  230
  380,19630606,  176,  128,  238
  380,19630607,  179,  119,  239
  380,19630608,  181,  118,  232
  380,19630609,  191,  134,  254
  380,19630610,  193,  131,  253
  380,19630611,  183,  121,  245
  380,19630612,  158,  111,  225
  380,19630613,  161,  112,  233
  380,19630614,  124,  106,  144
  380,19630615,  115,   85,  149
  380,19630616,  142,   89,  189
  380,19630617,  167,  139,  205
  380,19630618,  160,  118,  203
  380,19630619,  122,   94,  157
  380,19630620,  145,   94,  173
  380,19630621,  164,  153,  180
  380,19630622,  146,  116,  180
  380,19630623,  136,   99,  186
  380,19630624,  146,   82,  198
  380,19630625,  163,  117,  215
  380,19630626,  150,  122,  187
  380,19630627,  151,  120,  179
  380,19630628,  145,  121,  188
  380,19630629,  155,  115,  202
  380,19630630,  167,   98,  218
  380,19630701,  155,  127,  186
  380,19630702,  173,  109,  220
  380,19630703,  188,  115,  235
  380,19630704,  175,  147,  240
  380,19630705,  173,  137,  225
  380,19630706,  185,  129,  235
  380,19630707,  167,  118,  193
  380,19630708,  148,  101,  196
  380,19630709,  150,  108,  190
  380,19630710,  141,  112,  178
  380,19630711,  145,  124,  176
  380,19630712,  154,  108,  203
  380,19630713,  156,  100,  225
  380,19630714,  158,  101,  210
  380,19630715,  197,  138,  253
  380,19630716,  190,  144,  228
  380,19630717,  169,  130,  216
  380,19630718,  160,  106,  216
  380,19630719,  179,  117,  231
